卫视频道,#genre#
山东卫视,http://124.112.189.237:4022/rtp/238.1.78.169:7224
东南卫视,http://124.112.189.237:4022/rtp/238.1.78.22:6104
四川卫视,http://124.112.189.237:4022/rtp/238.1.78.30:6168
江西卫视,http://124.112.189.237:4022/rtp/238.1.78.26:6136
重庆卫视,http://124.112.189.237:4022/rtp/238.1.78.31:6176
广东卫视,http://124.112.189.237:4022/rtp/238.1.78.161:7160
黑龙江卫视,http://124.112.189.237:4022/rtp/238.1.78.159:7144
吉林卫视,http://124.112.189.237:4022/rtp/238.1.79.48:4496
辽宁卫视,http://124.112.189.237:4022/rtp/238.1.78.21:6096
海南卫视,http://124.112.189.237:4022/rtp/238.1.79.49:4504
深圳卫视,http://124.112.189.237:4022/rtp/238.1.78.156:7120
贵州卫视,http://124.112.189.237:4022/rtp/238.1.78.244:7824
甘肃卫视,http://124.112.189.237:4022/rtp/238.1.79.36:4400
陕西卫视,http://124.112.189.237:4022/rtp/238.1.78.88:6576
云南卫视,http://124.112.189.237:4022/rtp/238.1.78.89:6584
山西卫视,http://124.112.189.237:4022/rtp/238.1.78.95:6632
青海卫视,http://124.112.189.237:4022/rtp/238.1.78.102:6688
广西卫视,http://124.112.189.237:4022/rtp/238.1.78.70:6432
内蒙古卫视,http://124.112.189.237:4022/rtp/238.1.78.103:6696
宁夏卫视,http://124.112.189.237:4022/rtp/238.1.78.109:6744
新疆卫视,http://124.112.189.237:4022/rtp/238.1.78.110:6752
西藏卫视,http://124.112.189.237:4022/rtp/238.1.78.101:6680
兵团卫视,http://124.112.189.237:4022/rtp/238.1.78.104:6704
三沙卫视,http://124.112.189.237:4022/rtp/238.1.78.27:6144
厦门卫视,http://124.112.189.237:4022/rtp/238.1.78.246:7840
云南卫视,http://106.59.2.152:55555/rtp/239.200.200.145:8840
安徽卫视,http://106.59.2.152:55555/udp/239.200.200.129:8720
北京卫视,http://106.59.2.152:55555/rtp/239.200.200.5:8024
东方卫视,http://106.59.2.152:55555/udp/239.200.200.8:8032
浙江卫视,http://106.59.2.152:55555/udp/239.200.200.141:8724
湖北卫视,http://106.59.2.152:55555/rtp/239.200.200.68:8772
湖南卫视,http://106.59.2.152:55555/rtp/239.200.200.6:8012
吉林卫视,http://106.59.2.152:55555/udp/239.200.201.127:8792
江苏卫视,http://106.59.2.152:55555/udp/239.200.200.7:8028
江西卫视,http://106.59.2.152:55555/udp/239.200.201.79:8876
深圳卫视,http://106.59.2.152:55555/rtp/239.200.200.67:8776
四川卫视,http://106.59.2.152:55555/udp/239.200.201.137:8796
东南卫视,http://106.59.2.152:55555/udp/239.200.201.69:8764
甘肃卫视,http://106.59.2.152:55555/udp/239.200.200.186:8356
广东卫视,http://106.59.2.152:55555/udp/239.200.201.35:8768
山东卫视,http://106.59.2.152:55555/rtp/239.200.200.168:8748
贵州卫视,http://106.59.2.152:55555/udp/239.200.201.119:8788
海南卫视,http://106.59.2.152:55555/udp/239.200.201.159:8408
河南卫视,http://106.59.2.152:55555/udp/239.200.201.158:8412
天津卫视,http://106.59.2.152:55555/udp/239.200.200.69:1234
黑龙江卫视,http://106.59.2.152:55555/rtp/239.200.200.66:8016
辽宁卫视,http://106.59.2.152:55555/udp/239.200.200.167:8736
内蒙卫视,http://106.59.2.152:55555/rtp/239.200.200.57:8296
广西卫视,http://106.59.2.152:55555/rtp/239.200.200.53:8280
重庆卫视,http://106.59.2.152:55555/rtp/239.200.200.49:8264
宁夏卫视,http://106.59.2.152:55555/rtp/239.200.200.60:8308
青海卫视,http://106.59.2.152:55555/rtp/239.200.200.58:8300
山西卫视,http://106.59.2.152:55555/rtp/239.200.200.56:8292
陕西卫视,http://106.59.2.152:55555/rtp/239.200.200.55:8288
新疆卫视,http://106.59.2.152:55555/rtp/239.200.200.62:8316
西藏卫视,http://106.59.2.152:55555/rtp/239.200.200.61:8312
三沙卫视,http://106.59.2.152:55555/rtp/239.200.201.136:8140
山东教育卫视,http://106.59.2.152:55555/rtp/239.200.201.77:8132
湖南卫视,http://118.251.19.80:8188/udp/239.76.253.101:9000
湖南卫视,http://118.251.19.80:8188/udp/239.76.251.85:9000
湖南卫视,http://118.251.19.80:8188/udp/239.76.253.100:9000
湖南卫视FHD,http://118.251.19.80:8188/udp/239.76.252.115:9000
北京卫视,http://118.251.19.80:8188/udp/239.76.253.184:9000
北京卫视4K超高清,http://118.251.19.80:8188/udp/239.76.253.246:9000
三沙卫视,http://118.251.19.80:8188/udp/239.76.253.74:9000
东方卫视,http://118.251.19.80:8188/udp/239.76.253.186:9000
吉林卫视,http://118.251.19.80:8188/udp/239.76.253.201:9000
四川卫视,http://118.251.19.80:8188/udp/239.76.253.91:9000
天津卫视,http://118.251.19.80:8188/udp/239.76.253.185:9000
山东卫视,http://118.251.19.80:8188/udp/239.76.253.195:9000
江苏卫视,http://118.251.19.80:8188/udp/239.76.253.181:9000
河南卫视,http://118.251.19.80:8188/udp/239.76.253.202:9000
浙江卫视,http://118.251.19.80:8188/udp/239.76.253.182:9000
海南卫视,http://118.251.19.80:8188/udp/239.76.253.203:9000
深圳卫视,http://118.251.19.80:8188/udp/239.76.253.188:9000
湖北卫视,http://118.251.19.80:8188/udp/239.76.253.193:9000
甘肃卫视,http://118.251.19.80:8188/udp/239.76.253.94:9000
重庆卫视,http://118.251.19.80:8188/udp/239.76.253.92:9000
广东卫视,http://118.251.19.80:8188/udp/239.76.252.189:9000
河北卫视,http://118.251.19.80:8188/udp/239.76.252.199:9000
安徽卫视,http://118.251.19.80:8188/udp/239.76.252.196:9000
天津卫视,http://118.251.19.80:8188/udp/239.76.251.92:9000
江苏卫视,http://118.251.19.80:8188/udp/239.76.251.89:9000
江西卫视,http://118.251.19.80:8188/udp/239.76.252.225:9000
东南卫视,http://118.251.19.80:8188/udp/239.76.252.190:9000
辽宁卫视,http://118.251.19.80:8188/udp/239.76.252.197:9000
贵州卫视,http://118.251.19.80:8188/udp/239.76.252.198:9000
黑龙江卫视,http://118.251.19.80:8188/udp/239.76.253.200:9000
云南卫视,http://118.251.19.80:8188/udp/239.76.254.60:9000
广西卫视,http://118.251.19.80:8188/udp/239.76.254.54:9000
陕西卫视,http://118.251.19.80:8188/udp/239.76.254.76:9000
青海卫视,http://118.251.19.80:8188/udp/239.76.254.132:9000
湖南卫视,http://118.251.19.80:8188/udp/239.76.246.101:1234
湖南卫视,http://118.251.19.80:8188/udp/239.76.246.100:1234
湖南卫视FHD,http://118.251.19.80:8188/udp/239.76.245.115:1234
三沙卫视,http://118.251.19.80:8188/udp/239.76.246.74:1234
东方卫视,http://118.251.19.80:8188/udp/239.76.246.186:1234
北京卫视,http://118.251.19.80:8188/udp/239.76.246.184:1234
吉林卫视,http://118.251.19.80:8188/udp/239.76.246.201:1234
四川卫视,http://118.251.19.80:8188/udp/239.76.246.91:1234
天津卫视,http://118.251.19.80:8188/udp/239.76.246.185:1234
山东卫视,http://118.251.19.80:8188/udp/239.76.246.195:1234
江苏卫视,http://118.251.19.80:8188/udp/239.76.246.181:1234
河南卫视,http://118.251.19.80:8188/udp/239.76.246.202:1234
浙江卫视,http://118.251.19.80:8188/udp/239.76.246.182:1234
海南卫视,http://118.251.19.80:8188/udp/239.76.246.203:1234
深圳卫视,http://118.251.19.80:8188/udp/239.76.246.188:1234
湖北卫视,http://118.251.19.80:8188/udp/239.76.246.193:1234
甘肃卫视,http://118.251.19.80:8188/udp/239.76.246.94:1234
重庆卫视,http://118.251.19.80:8188/udp/239.76.246.92:1234
黑龙江卫视,http://118.251.19.80:8188/udp/239.76.246.200:1234
东南卫视,http://118.251.19.80:8188/udp/239.76.245.190:1234
安徽卫视,http://118.251.19.80:8188/udp/239.76.245.196:1234
广东卫视,http://118.251.19.80:8188/udp/239.76.245.189:1234
江西卫视,http://118.251.19.80:8188/udp/239.76.245.225:1234
河北卫视,http://118.251.19.80:8188/udp/239.76.245.199:1234
贵州卫视,http://118.251.19.80:8188/udp/239.76.245.198:1234
辽宁卫视,http://118.251.19.80:8188/udp/239.76.245.197:1234
江苏卫视,http://114.226.212.189:8787/rtp/239.49.8.138:6000
浙江卫视,http://114.226.212.189:8787/rtp/239.49.8.139:6000
东方卫视,http://114.226.212.189:8787/rtp/239.49.8.140:6000
北京卫视,http://114.226.212.189:8787/rtp/239.49.8.141:6000
湖南卫视,http://114.226.212.189:8787/rtp/239.49.8.142:6000
广东卫视,http://114.226.212.189:8787/rtp/239.49.8.143:6000
深圳卫视,http://114.226.212.189:8787/rtp/239.49.8.145:6000
山东卫视,http://114.226.212.189:8787/rtp/239.49.8.146:6000
湖北卫视,http://114.226.212.189:8787/rtp/239.49.8.147:6000
